City,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BIRBHUM,1978,0.902,63.278,72.195,67.893,100.813,276.17,323.233,335.205,556.967,162.742,18.652,4.207
BIRBHUM,1979,34.576,37.626,6.952,45.89,26.805,99.029,261.712,241.996,203.025,70.76,5.974,28.097
BIRBHUM,1980,23.744,26.281,80.143,2.517,89.46,313.678,252.979,291.381,120.677,86.781,3.676,0.152
BIRBHUM,1981,14.776,27.521,66.573,102.617,129.735,138.049,347.432,220.197,204.373,1.076,1.946,11.35
BIRBHUM,1982,3.336,14.315,45.636,83.498,34.052,119.362,154.997,326.412,180.388,28.351,8.487,0.423
BIRBHUM,1983,9.009,29.259,45.268,35,118.872,205.081,310.867,260.523,126.235,151.969,0.301,4.425
BIRBHUM,1984,27.626,13.907,5.863,52.664,58.038,575.063,324.38,335.825,307.669,64.066,0,0
BIRBHUM,1985,8.042,8.436,1.87,24.697,54.579,156.021,378.335,202.81,176.608,95.933,0.84,10.149
BIRBHUM,1986,10.261,9.009,1.077,47.481,96.179,198.206,308.371,217.442,460.519,83.855,27.365,3.394
BIRBHUM,1987,0.923,3.636,21.895,52.584,67.057,102.349,257.231,245.701,119.432,36.704,14.826,2.774
BIRBHUM,1988,4.488,34.432,34.418,11.984,69.2,209.887,261.555,429.78,134.518,77.911,22.782,2.106
BIRBHUM,1989,4.004,3.448,6.233,1.862,103.451,230.489,206.766,284.786,267.75,109.893,5.443,4.496
BIRBHUM,1990,0.004,21.348,42.731,29.798,199.932,299.841,515.163,240.259,287.414,257.885,7.707,0.638
BIRBHUM,1991,5.808,6.407,47.308,12.829,49.28,202.534,271.186,488.857,238.368,99.659,2.821,14.469
BIRBHUM,1992,12.654,8.277,2.385,11.258,62.288,209.446,319.102,196.837,165.503,53.278,0.186,0.071
BIRBHUM,1993,7.086,2.324,56.18,65.412,85.708,323.783,258.708,335.256,330.024,126.018,7.646,0
BIRBHUM,1994,21.046,37.339,47.263,54.567,70.651,150.23,266.606,352.369,114.589,166.049,4.123,0.005
BIRBHUM,1995,16.688,25.296,23.486,17.991,70.543,115.258,252.93,244.178,385.255,96.121,16.751,0.341
BIRBHUM,1996,8.015,16.452,8.4,38.18,44.383,204.116,157.005,443.205,137.353,154.618,0,0
BIRBHUM,1997,23.048,12.998,37.129,51.476,120.836,65.679,306.5,373.005,242.23,68.224,12.321,12.169
BIRBHUM,1998,17.903,57.35,27.994,37.809,103.87,149.118,195.371,244.364,233.334,302.487,22.339,0
BIRBHUM,1999,5.725,4.317,1.303,1.239,118.423,192.308,256.94,410.632,370.68,79.92,9.681,0.005
BIRBHUM,2000,4.276,38.559,4.435,53.44,104.988,214.122,149.719,241.783,205.048,35.05,4.497,1.174
BIRBHUM,2001,0.872,6.073,56.514,29.425,106.367,195.847,187.57,257.092,113.39,151.316,6.71,0
BIRBHUM,2002,21.107,10.114,13.384,54.036,49.423,190.68,222.533,336.445,206.487,101.698,11.41,0
JALPAIGURI,1901,22.351,1.687,10.743,59.089,89.279,514.222,359.978,446.972,299.913,92.212,26.702,5.386
JALPAIGURI,1902,0.304,0.177,49.371,140.978,160.077,450.013,553.445,401.012,513.5,58.49,0.438,0.247
JALPAIGURI,1903,4.477,11.994,30.067,79.52,236.071,731.142,280.851,508.07,382.256,157.934,3.585,0.247
JALPAIGURI,1904,0.638,14.608,24.677,95.363,550.073,465.92,556.586,420.925,255.094,82.959,9.149,0.708
JALPAIGURI,1905,6.491,10.677,39.55,85.519,257.479,199.937,582.093,681.669,388.911,58.187,3.117,6.164
JALPAIGURI,1906,5.041,27.164,29.118,38.038,175.64,376.417,652.745,360.194,302.546,213.897,3.1,0.247
JALPAIGURI,1907,13.978,19.97,57.855,108.148,177.392,608.515,506.201,344.086,423.222,46.805,0.263,3.788
